response_label,period,driver_label,n_cells,n_supported_negative,n_supported_positive,n_not_supported,percent_supported_negative,percent_supported_positive,percent_not_supported,coefficient_q05,coefficient_median,coefficient_q95,local_t_q05,local_t_median,local_t_q95,base_y,negative_count_label,positive_count_label
Predicted richness,1970s,Temperature,1776,0,567,1209,0,31.925675675675677,68.07432432432432,-1.1508613324518369,0.6434214252160338,4.663103275264875,-1.1565690484650566,0.6023857070194991,4.074004380342012,8,,+567
Predicted richness,1970s,Precipitation,1776,1023,68,685,57.601351351351354,3.828828828828829,38.56981981981982,-6.884526221524287,-2.546999171279378,2.7008868715323047,-7.133019877198399,-2.3623339628266375,1.6839123708466008,7,"-1,023",+68
Predicted richness,1970s,Land-use heterogeneity,1776,3,542,1231,0.16891891891891891,30.51801801801802,69.31306306306307,-0.9706573211409519,1.323272998090454,4.174023249069352,-0.7931506425365363,1.251970624989069,3.3203763280170735,6,-3,+542
Predicted richness,1970s,Urban (% coverage),1776,0,825,951,0,46.4527027027027,53.5472972972973,-0.5275154041433573,1.2967376429747821,4.927769050931466,-0.7501279380722927,1.836680136686729,5.002350113202375,5,,+825
Predicted richness,1970s,Cropland (% coverage),1776,0,550,1226,0,30.96846846846847,69.03153153153153,-0.5090324345481924,1.3409133350031692,3.985224751426956,-0.388108162258612,1.0296293501198355,2.9115669656145218,4,,+550
Predicted richness,1970s,Pasture (% coverage),1776,0,387,1389,0,21.79054054054054,78.20945945945945,-0.3074672706201569,1.0108273714065608,2.9364072564198755,-0.33664078272684916,1.0699537438532212,3.197880769140763,3,,+387
Predicted richness,1970s,Forest (% coverage),1776,0,1650,126,0,92.9054054054054,7.094594594594595,1.3328607985070984,3.85947411580047,6.9350696334257425,1.6819087372561135,3.8774667481203964,5.932512599919544,2,,"+1,650"
Predicted richness,1970s,Grass/Shrubland (% coverage),1776,13,469,1294,0.7319819819819819,26.40765765765766,72.86036036036036,-1.567386317413026,0.7292902706295753,2.6931388502420255,-1.540842256375389,0.981278607496445,3.097050316064565,1,-13,+469
Predicted richness,1990s,Temperature,1850,0,563,1287,0,30.43243243243243,69.56756756756756,-0.0868889532110039,1.0248384516188211,7.659170110091916,-0.13198364080564817,0.9616370601085559,3.739749672935738,8,,+563
Predicted richness,1990s,Precipitation,1850,1072,81,697,57.945945945945944,4.378378378378378,37.67567567567568,-5.681024681302242,-2.0031278772260874,2.519485891968614,-6.843503526086007,-2.430054622487664,1.8539972216418805,7,"-1,072",+81
Predicted richness,1990s,Land-use heterogeneity,1850,0,1742,108,0,94.16216216216216,5.837837837837838,2.1408993339576092,3.3337729189427208,5.12645229225053,1.8145113570394402,3.6108475653555,4.680532434767297,6,,"+1,742"
Predicted richness,1990s,Urban (% coverage),1850,0,891,959,0,48.16216216216216,51.83783783783784,0.5080507824037568,1.4759377375823717,4.21264670007617,0.609150367350559,1.8849377331541057,4.937445501843635,5,,+891
Predicted richness,1990s,Cropland (% coverage),1850,0,507,1343,0,27.405405405405407,72.5945945945946,0.3891814774653837,1.6677348645495627,4.799248773720562,0.2904662805342816,1.4593879883651235,3.910507876843931,4,,+507
Predicted richness,1990s,Pasture (% coverage),1850,0,363,1487,0,19.62162162162162,80.37837837837837,-0.3407855445497918,0.5509123073719331,2.9965821181330914,-0.4685071589223756,0.7316468437042531,2.893846009983279,3,,+363
Predicted richness,1990s,Forest (% coverage),1850,0,1813,37,0,98,2,3.067005629213945,4.190580206222675,6.960078500438565,2.6284075931527258,4.998354140585888,6.823300310330232,2,,"+1,813"
Predicted richness,1990s,Grass/Shrubland (% coverage),1850,0,318,1532,0,17.18918918918919,82.8108108108108,-0.14090501129378183,1.1619197937042416,2.0962447140975176,-0.23968698297394103,1.5088064918922113,2.5788217586726443,1,,+318
Predicted richness,2010s,Temperature,1904,103,834,967,5.409663865546219,43.80252100840336,50.78781512605042,-1.4100353201940012,1.1277882031241924,7.760461787696952,-2.030448549384554,1.431154024430553,6.102964274476589,8,-103,+834
Predicted richness,2010s,Precipitation,1904,941,138,825,49.42226890756302,7.2478991596638656,43.32983193277311,-4.076499718424781,-1.4276015729719176,4.041394751835485,-6.252170691755605,-1.8780877503790896,2.226399816143676,7,-941,+138
Predicted richness,2010s,Land-use heterogeneity,1904,0,1833,71,0,96.27100840336135,3.7289915966386555,1.4243199839094358,3.020623570224311,4.400664303279977,2.101633642030906,4.007412777918648,5.060924031848261,6,,"+1,833"
Predicted richness,2010s,Urban (% coverage),1904,0,1811,93,0,95.1155462184874,4.8844537815126055,1.4702034868759724,2.6964051690334863,4.5733870284443165,2.033747469545269,4.416448865050593,7.7533435240871516,5,,"+1,811"
Predicted richness,2010s,Cropland (% coverage),1904,0,971,933,0,50.997899159663866,49.002100840336134,-0.5403945290031875,1.9118268564481327,5.0377872496167395,-0.5448828748179938,2.0877889995415266,6.342576415489513,4,,+971
Predicted richness,2010s,Pasture (% coverage),1904,0,1611,293,0,84.61134453781513,15.388655462184873,0.1572496793653741,2.559191490019427,4.621409044428125,0.22670380760364506,3.988708220738064,6.243303401606827,3,,"+1,611"
Predicted richness,2010s,Forest (% coverage),1904,0,1817,87,0,95.43067226890756,4.569327731092437,1.8835036344592702,4.0526209039485686,6.0035856009106086,2.008250118233946,5.472097287389396,11.158416555508737,2,,"+1,817"
Predicted richness,2010s,Grass/Shrubland (% coverage),1904,0,408,1496,0,21.428571428571427,78.57142857142857,-0.5947110747186053,0.3145744011775278,1.63144804812895,-1.1066711878384394,0.5020296063859935,3.620848551534281,1,,+408
